"from","to","line","linecolor"
11,163,"Bakerloo Line","#AE6017"
11,212,"Bakerloo Line","#AE6017"
49,87,"Bakerloo Line","#AE6017"
49,197,"Bakerloo Line","#AE6017"
82,163,"Bakerloo Line","#AE6017"
82,193,"Bakerloo Line","#AE6017"
84,148,"Bakerloo Line","#AE6017"
87,279,"Bakerloo Line","#AE6017"
113,246,"Bakerloo Line","#AE6017"
113,298,"Bakerloo Line","#AE6017"
114,140,"Bakerloo Line","#AE6017"
137,206,"Bakerloo Line","#AE6017"
137,298,"Bakerloo Line","#AE6017"
140,237,"Bakerloo Line","#AE6017"
143,159,"Bakerloo Line","#AE6017"
143,206,"Bakerloo Line","#AE6017"
148,279,"Bakerloo Line","#AE6017"
159,278,"Bakerloo Line","#AE6017"
185,237,"Bakerloo Line","#AE6017"
185,281,"Bakerloo Line","#AE6017"
192,197,"Bakerloo Line","#AE6017"
192,212,"Bakerloo Line","#AE6017"
193,278,"Bakerloo Line","#AE6017"
246,281,"Bakerloo Line","#AE6017"
13,156,"Central Line","#F15B2E"
13,250,"Central Line","#F15B2E"
16,91,"Central Line","#F15B2E"
16,173,"Central Line","#F15B2E"
24,156,"Central Line","#F15B2E"
24,164,"Central Line","#F15B2E"
28,162,"Central Line","#F15B2E"
28,192,"Central Line","#F15B2E"
37,158,"Central Line","#F15B2E"
37,301,"Central Line","#F15B2E"
48,126,"Central Line","#F15B2E"
48,250,"Central Line","#F15B2E"
51,103,"Central Line","#F15B2E"
51,215,"Central Line","#F15B2E"
68,158,"Central Line","#F15B2E"
68,256,"Central Line","#F15B2E"
72,286,"Central Line","#F15B2E"
76,181,"Central Line","#F15B2E"
76,296,"Central Line","#F15B2E"
88,256,"Central Line","#F15B2E"
91,109,"Central Line","#F15B2E"
98,173,"Central Line","#F15B2E"
98,211,"Central Line","#F15B2E"
103,109,"Central Line","#F15B2E"
105,177,"Central Line","#F15B2E"
105,196,"Central Line","#F15B2E"
112,181,"Central Line","#F15B2E"
112,196,"Central Line","#F15B2E"
126,259,"Central Line","#F15B2E"
127,186,"Central Line","#F15B2E"
127,226,"Central Line","#F15B2E"
149,162,"Central Line","#F15B2E"
149,208,"Central Line","#F15B2E"
153,154,"Central Line","#F15B2E"
153,247,"Central Line","#F15B2E"
154,230,"Central Line","#F15B2E"
154,275,"Central Line","#F15B2E"
164,247,"Central Line","#F15B2E"
177,239,"Central Line","#F15B2E"
181,286,"Central Line","#F15B2E"
186,208,"Central Line","#F15B2E"
192,259,"Central Line","#F15B2E"
211,275,"Central Line","#F15B2E"
215,301,"Central Line","#F15B2E"
221,239,"Central Line","#F15B2E"
221,294,"Central Line","#F15B2E"
226,296,"Central Line","#F15B2E"
230,241,"Central Line","#F15B2E"
241,301,"Central Line","#F15B2E"
2,156,"Circle Line","#FFE02B"
2,263,"Circle Line","#FFE02B"
11,83,"Circle Line","#FFE02B"
11,104,"Circle Line","#FFE02B"
14,92,"Circle Line","#FFE02B"
14,167,"Circle Line","#FFE02B"
18,186,"Circle Line","#FFE02B"
18,193,"Circle Line","#FFE02B"
25,161,"Circle Line","#FFE02B"
25,255,"Circle Line","#FFE02B"
44,161,"Circle Line","#FFE02B"
44,166,"Circle Line","#FFE02B"
83,193,"Circle Line","#FFE02B"
87,255,"Circle Line","#FFE02B"
87,285,"Circle Line","#FFE02B"
90,104,"Circle Line","#FFE02B"
90,145,"Circle Line","#FFE02B"
92,145,"Circle Line","#FFE02B"
99,122,"Circle Line","#FFE02B"
99,236,"Circle Line","#FFE02B"
122,186,"Circle Line","#FFE02B"
156,167,"Circle Line","#FFE02B"
166,263,"Circle Line","#FFE02B"
229,236,"Circle Line","#FFE02B"
229,273,"Circle Line","#FFE02B"
248,273,"Circle Line","#FFE02B"
248,285,"Circle Line","#FFE02B"
3,263,"District Line","#00A166"
3,295,"District Line","#00A166"
15,78,"District Line","#00A166"
15,269,"District Line","#00A166"
17,110,"District Line","#00A166"
17,293,"District Line","#00A166"
18,186,"District Line","#00A166"
