"id","dept"
89,"DCAR"
97,"DCAR"
118,"DCAR"
220,"DCAR"
378,"DCAR"
656,"DCAR"
720,"DCAR"
741,"DCAR"
886,"DCAR"
1204,"DCAR"
1209,"DCAR"
1492,"DCAR"
290,"DG"
502,"DG"
47,"DISQ"
119,"DISQ"
198,"DISQ"
213,"DISQ"
253,"DISQ"
267,"DISQ"
270,"DISQ"
343,"DISQ"
366,"DISQ"
420,"DISQ"
428,"DISQ"
445,"DISQ"
478,"DISQ"
520,"DISQ"
525,"DISQ"
660,"DISQ"
691,"DISQ"
836,"DISQ"
39,"DMCT"
43,"DMCT"
59,"DMCT"
63,"DMCT"
72,"DMCT"
80,"DMCT"
122,"DMCT"
211,"DMCT"
219,"DMCT"
246,"DMCT"
257,"DMCT"
285,"DMCT"
339,"DMCT"
407,"DMCT"
466,"DMCT"
468,"DMCT"
533,"DMCT"
702,"DMCT"
706,"DMCT"
753,"DMCT"
784,"DMCT"
790,"DMCT"
793,"DMCT"
809,"DMCT"
866,"DMCT"
871,"DMCT"
889,"DMCT"
894,"DMCT"
923,"DMCT"
939,"DMCT"
3,"DMI"
15,"DMI"
34,"DMI"
54,"DMI"
74,"DMI"
79,"DMI"
99,"DMI"
120,"DMI"
131,"DMI"
134,"DMI"
141,"DMI"
156,"DMI"
158,"DMI"
159,"DMI"
160,"DMI"
162,"DMI"
165,"DMI"
178,"DMI"
183,"DMI"
193,"DMI"
205,"DMI"
236,"DMI"
242,"DMI"
250,"DMI"
259,"DMI"
261,"DMI"
295,"DMI"
333,"DMI"
353,"DMI"
372,"DMI"
425,"DMI"
447,"DMI"
453,"DMI"
460,"DMI"
464,"DMI"
489,"DMI"
491,"DMI"
498,"DMI"
574,"DMI"
615,"DMI"
642,"DMI"
677,"DMI"
694,"DMI"
751,"DMI"
763,"DMI"
859,"DMI"
880,"DMI"
884,"DMI"
909,"DMI"
959,"DMI"
1067,"DMI"
1090,"DMI"
1164,"DMI"
1238,"DMI"
1342,"DMI"
38,"DSE"
172,"DSE"
184,"DSE"
210,"DSE"
222,"DSE"
248,"DSE"
252,"DSE"
269,"DSE"
275,"DSE"
322,"DSE"
374,"DSE"
424,"DSE"
465,"DSE"
477,"DSE"
486,"DSE"
504,"DSE"
510,"DSE"
513,"DSE"
527,"DSE"
577,"DSE"
634,"DSE"
638,"DSE"
674,"DSE"
743,"DSE"
771,"DSE"
867,"DSE"
882,"DSE"
893,"DSE"
908,"DSE"
921,"DSE"
1485,"DSE"
27,"DST"
71,"DST"
77,"DST"
147,"DST"
215,"DST"
346,"DST"
387,"DST"
401,"DST"
426,"DST"
429,"DST"
487,"DST"
488,"DST"
580,"DST"
582,"DST"
603,"DST"
649,"DST"
725,"DST"
779,"DST"
954,"DST"
1245,"DST"
1323,"DST"
1362,"DST"
1392,"DST"
14,"SCOM"
181,"SCOM"
441,"SCOM"
544,"SCOM"
778,"SCOM"
998,"SCOM"
1260,"SCOM"
106,"SDOC"
245,"SDOC"
435,"SDOC"
440,"SDOC"
117,"SFLE"
197,"SFLE"
200,"SFLE"
413,"SFLE"
432,"SFLE"
461,"SFLE"
475,"SFLE"
496,"SFLE"
626,"SFLE"
653,"SFLE"
874,"SFLE"
977,"SFLE"
1414,"SFLE"
18,"SRH"
232,"SRH"
272,"SRH"
531,"SRH"
621,"SRH"
650,"SRH"
744,"SRH"
797,"SRH"
845,"SRH"
55,"SSI"
110,"SSI"
164,"SSI"
173,"SSI"
628,"SSI"
970,"SSI"
985,"SSI"
