"from","to","weight"
"X1","X85","6"
"X1","X76","5"
"X1","X11","1"
"X1","X82","5"
"X1","X87","3"
"X1","X41","2"
"X83","X86","3"
"X3","X12","3"
"X85","X1","3"
"X85","X76","4"
"X76","X1","7"
"X76","X88","1"
"X76","X85","6"
"X76","X87","2"
"X76","X79","4"
"X76","X61","3"
"X76","X72","2"
"X11","X1","1"
"X84","X1","1"
"X84","X85","1"
"X12","X13","1"
"X12","X14","29"
"X12","X18","3"
"X12","X17","2"
"X12","X16","5"
"X12","X27","2"
"X12","X26","2"
"X12","X66","4"
"X12","X65","1"
"X14","X12","5"
"X14","X58","4"
"X18","X12","2"
"X17","X12","11"
"X82","X1","1"
"X82","X87","3"
"X82","X36","4"
"X82","X96","5"
"X78","X79","1"
"X87","X1","2"
"X87","X76","2"
"X87","X82","1"
"X87","X81","2"
"X79","X78","2"
"X79","X59","2"
"X79","X102","1"
"X16","X12","33"
"X59","X79","6"
"X37","X41","21"
"X37","X27","4"
"X37","X93","17"
"X58","X14","12"
"X58","X24","3"
"X96","X82","5"
"X96","X46","2"
"X101","X79","12"
"X101","X102","3"
"X41","X13","12"
"X41","X12","2"
"X41","X37","6"
"X41","X27","4"
"X41","X93","3"
"X41","X94","10"
"X41","X92","11"
"X27","X12","2"
"X27","X17","1"
"X93","X37","1"
"X93","X41","1"
"X42","X12","2"
"X43","X41","1"
"X102","X79","2"
"X102","X59","1"
"X65","X12","18"
