"from","to","weight"
"X1","X4","3"
"X1","X89","2"
"X1","X83","2"
"X1","X3","26"
"X1","X5","3"
"X1","X85","18"
"X1","X2","3"
"X1","X6","3"
"X1","X8","1"
"X1","X55","3"
"X1","X47","1"
"X1","X76","7"
"X1","X34","1"
"X1","X31","1"
"X1","X12","2"
"X1","X82","1"
"X1","X19","1"
"X1","X15","2"
"X83","X86","2"
"X3","X1","1"
"X3","X9","2"
"X3","X31","4"
"X3","X12","4"
"X88","X85","1"
"X85","X3","1"
"X85","X88","2"
"X86","X83","2"
"X2","X1","1"
"X7","X89","1"
"X6","X1","10"
"X8","X5","1"
"X76","X1","2"
"X76","X89","1"
"X11","X1","19"
"X32","X12","1"
"X84","X1","2"
"X31","X1","3"
"X31","X13","1"
"X12","X3","1"
"X12","X9","2"
"X12","X31","3"
"X12","X18","1"
"X12","X25","1"
"X108","X1","4"
"X108","X6","1"
"X100","X1","1"
"X18","X12","3"
"X17","X12","2"
"X82","X1","1"
"X19","X1","1"
