"from","to"
"CCL","Double"
"DN16","Feather"
"DN21","Feather"
"Beak","Fish"
"Bumper","Fish"
"DN16","Gallatin"
"DN21","Gallatin"
"Feather","Gallatin"
"Beak","Grin"
"CCL","Grin"
"Beak","Haecksel"
"Grin","Hook"
"Beescratch","Jet"
"DN21","Jet"
"Feather","Jet"
"Gallatin","Jet"
"Haecksel","Jonah"
"Beescratch","Knit"
"DN63","Knit"
"Double","Kringel"
"Hook","Kringel"
"Jonah","Kringel"
"Jonah","MN105"
"Jet","MN23"
"Grin","MN83"
"Haecksel","MN83"
"Jonah","MN83"
"Jet","Mus"
"Beescratch","Notch"
"Mus","Notch"
"Beescratch","Number1"
"DN63","Number1"
"Jet","Number1"
"Mus","Number1"
"Notch","Number1"
"Beescratch","Oscar"
"Double","Oscar"
"Kringel","Oscar"
"Fish","Patchback"
"Jonah","Patchback"
"MN105","Patchback"
"MN83","Patchback"
"DN63","PL"
"Knit","PL"
"Oscar","PL"
"Jet","Quasi"
"Feather","Ripplefluke"
"Gallatin","Ripplefluke"
"Fork","Scabs"
"Grin","Scabs"
"Hook","Scabs"
"MN105","Scabs"
"Grin","Shmuddel"
"Scabs","Shmuddel"
"Patchback","SMN5"
"Beescratch","SN100"
"Kringel","SN100"
"MN60","SN100"
"Double","SN4"
"Grin","SN4"
"Hook","SN4"
"MN105","SN4"
"Scabs","SN4"
"Shmuddel","SN4"
"SN100","SN4"
"Grin","SN63"
"Hook","SN63"
"Kringel","SN63"
"Scabs","SN63"
"SN100","SN89"
"Beak","SN9"
"DN63","SN9"
"Grin","SN9"
"Haecksel","SN9"
"Scabs","SN9"
"SN100","SN9"
"SN4","SN9"
"Beescratch","SN90"
"Feather","SN90"
"Gallatin","SN90"
"Beak","SN96"
"Bumper","SN96"
"Fish","SN96"
"PL","SN96"
"Grin","Stripes"
"Patchback","Stripes"
"Scabs","Stripes"
"SN4","Stripes"
"SN63","Stripes"
"Bumper","Thumper"
"Kringel","Thumper"
"Shmuddel","Thumper"
"SN63","Thumper"
"Double","Topless"
"Haecksel","Topless"
"Jonah","Topless"
"MN105","Topless"
"MN60","Topless"
"MN83","Topless"
"Patchback","Topless"
"SN4","Topless"
"Stripes","TR120"
"Beak","TR77"
"Fish","TR77"
"Kringel","TR77"
"Oscar","TR77"
"PL","TR77"
"SN96","TR77"
"Shmuddel","TR88"
"TR120","TR88"
"Grin","TR99"
"Hook","TR99"
"Kringel","TR99"
"Scabs","TR99"
"SN96","TR99"
"Topless","TR99"
"Cross","Trigger"
"Five","Trigger"
"Jonah","Trigger"
"MN105","Trigger"
"MN60","Trigger"
"MN83","Trigger"
"Patchback","Trigger"
"Topless","Trigger"
"TR99","Trigger"
"Grin","TSN103"
"Patchback","TSN103"
"SN63","TSN103"
"SN9","TSN103"
"Stripes","TSN83"
"Beescratch","Upbang"
"DN21","Upbang"
"DN63","Upbang"
"Gallatin","Upbang"
"Knit","Upbang"
"SN90","Upbang"
"Haecksel","Vau"
"Trigger","Vau"
"DN16","Wave"
"DN21","Wave"
"DN16","Web"
"DN21","Web"
"Feather","Web"
"Gallatin","Web"
"Jet","Web"
"SN89","Web"
"SN90","Web"
"TR82","Web"
"Upbang","Web"
"SN63","Whitetip"
"CCL","Zap"
"Double","Zap"
"Haecksel","Zap"
"SN100","Zap"
"Topless","Zap"
"Ripplefluke","Zig"
"Bumper","Zipfel"
"SN4","Zipfel"
"TSN83","Zipfel"
