"Region","Area_Code","Remain","Leave"
"East","E06000031",34176,53216
"East","E06000032",36708,47773
"East","E06000033",39348,54522
"East","E06000034",22151,57765
"East","E06000055",41497,44569
"East","E06000056",69670,89134
"East","E07000008",42682,15117
"East","E07000009",23599,24487
"East","E07000010",15055,37571
"East","E07000011",45729,54198
"East","E07000012",56128,37061
"East","E07000066",30748,67251
"East","E07000067",33523,52713
"East","E07000068",19077,27627
"East","E07000069",14154,37691
"East","E07000070",47545,53249
"East","E07000071",44414,51305
"East","E07000072",28676,48176
"East","E07000073",13867,29602
"East","E07000074",14529,24302
"East","E07000075",17510,34937
"East","E07000076",25210,57447
"East","E07000077",25619,26324
"East","E07000095",17166,33706
"East","E07000096",42542,43702
"East","E07000098",27593,28532
"East","E07000099",42234,35438
"East","E07000102",25751,27097
"East","E07000103",23167,23419
"East","E07000143",26313,47235
"East","E07000144",35469,42268
"East","E07000145",14284,35844
"East","E07000146",28587,56493
"East","E07000147",26214,37576
"East","E07000148",37326,29040
"East","E07000149",38817,41541
"East","E07000200",25309,29933
"East","E07000201",9791,18160
"East","E07000202",27698,38655
"East","E07000203",27391,33794
"East","E07000204",26986,35224
"East","E07000205",37218,41966
"East","E07000206",24356,41290
"East","E07000240",54208,32237
"East","E07000241",27550,31060
"East","E07000242",42372,42994
"East","E07000243",18659,27126
"East Midlands","E06000015",51612,69043
"East Midlands","E06000016",70980,67992
"East Midlands","E06000017",11353,11613
"East Midlands","E06000018",59318,61343
"East Midlands","E07000032",29319,44501
"East Midlands","E07000033",12242,29730
"East Midlands","E07000034",22946,34478
"East Midlands","E07000035",22633,24095
"East Midlands","E07000036",25791,40739
"East Midlands","E07000037",27116,27717
"East Midlands","E07000038",22075,37235
"East Midlands","E07000039",22479,34216
"East Midlands","E07000129",22888,33583
"East Midlands","E07000130",43500,50672
"East Midlands","E07000131",27028,27850
"East Midlands","E07000132",25969,39501
"East Midlands","E07000133",12695,17610
"East Midlands","E07000134",22642,34969
"East Midlands","E07000135",14292,17173
"East Midlands","E07000136",7430,22974
"East Midlands","E07000137",23515,56613
"East Midlands","E07000138",18902,24992
"East Midlands","E07000139",25570,42183
"East Midlands","E07000140",13074,36423
"East Midlands","E07000141",33047,49424
"East Midlands","E07000142",20906,33847
"East Midlands","E07000150",11470,20611
"East Midlands","E07000151",20443,28938
"East Midlands","E07000152",21680,30894
"East Midlands","E07000153",21030,32877
"East Midlands","E07000154",43805,61454
"East Midlands","E07000155",25853,30771
"East Midlands","E07000156",15462,25679
"East Midlands","E07000170",20179,46720
"East Midlands","E07000171",20575,43392
"East Midlands","E07000172",29672,35754
"East Midlands","E07000173",30035,37542
"East Midlands","E07000174",16417,39927
"East Midlands","E07000175",26571,40516
"East Midlands","E07000176",40522,29888
"London","E09000001",3312,1087
"London","E09000002",27750,46130
"London","E09000003",100210,60823
"London","E09000004",47603,80886
"London","E09000005",72523,48881
"London","E09000006",92398,90034
"London","E09000007",71295,23838
"London","E09000008",92913,78221
"London","E09000009",90024,59017
"London","E09000010",76425,60481
"London","E09000011",65248,52117
"London","E09000012",83398,22868
"London","E09000013",56188,24054
"London","E09000014",79991,25855
"London","E09000015",64042,53183
"London","E09000016",42201,96885
"London","E09000017",58040,74982
"London","E09000018",58755,56321
"London","E09000019",76420,25180
"London","E09000020",37601,17138
"London","E09000021",52533,32737
"London","E09000022",111584,30340
"London","E09000023",86955,37518
"London","E09000024",63003,37097
"London","E09000025",55328,49371
"London","E09000026",69213,59020
"London","E09000027",75396,33410
"London","E09000028",94293,35209
"London","E09000029",49319,57241
"London","E09000030",73011,35224
"London","E09000031",64156,44395
"London","E09000032",118463,39421
"London","E09000033",53928,24268
"North East","E06000001",14029,32071
"North East","E06000002",21181,40177
"North East","E06000003",24586,48128
"North East","E06000004",38433,61982
"North East","E06000005",24172,30994
"North East","E06000047",113521,153877
"North East","E06000057",82022,96699
"North East","E08000021",65405,63598
"North East","E08000022",52873,60589
"North East","E08000023",30014,49065
"North East","E08000024",51930,82394
"North East","E08000037",44429,58529
"North West","E06000006",27678,37327
"North West","E06000007",52657,62487
"North West","E06000008",28522,36799
"North West","E06000009",21781,45146
"North West","E06000049",107962,113163
"North West","E06000050",95455,98082
"North West","E07000026",22429,31809
"North West","E07000027",14207,21867
"North West","E07000028",23788,35895
"North West","E07000029",14419,23528
"North West","E07000030",14807,16911
"North West","E07000031",34531,30800
"North West","E07000117",14462,28854
"North West","E07000118",27417,36098
"North West","E07000119",19889,26317
"North West","E07000120",13569,26568
"North West","E07000121",35732,37309
"North West","E07000122",16704,28631
"North West","E07000123",30227,34518
"North West","E07000124",15892,20550
"North West","E07000125",15012,23169
"North West","E07000126",26406,37318
"North West","E07000127",28546,35323
"North West","E07000128",22816,40163
"North West","E08000001",57589,80491
"North West","E08000002",46354,54674
"North West","E08000003",121823,79991
"North West","E08000004",42034,65369
"North West","E08000005",41217,62014
"North West","E08000006",47430,62385
"North West","E08000007",85559,77930
"North West","E08000008",43118,67829
"North West","E08000009",72293,53018
"North West","E08000010",58942,104331
"North West","E08000011",34345,36558
"North West","E08000012",118453,85101
"North West","E08000013",39322,54357
"North West","E08000014",76702,71176
"North West","E08000015",88931,83069
"Northern Ireland","N92000002",440707,349442
"Scotland","S12000005",14691,10736
"Scotland","S12000006",43864,38803
"Scotland","S12000008",33891,23942
"Scotland","S12000010",36026,19738
"Scotland","S12000011",39345,13596
"Scotland","S12000013",8232,6671
"Scotland","S12000014",44987,34271
"Scotland","S12000015",106754,75466
"Scotland","S12000017",70308,55349
"Scotland","S12000018",24688,14010
"Scotland","S12000019",28217,17251
"Scotland","S12000020",24114,23992
"Scotland","S12000021",38394,29110
"Scotland","S12000023",7189,4193
"Scotland","S12000024",49641,31614
"Scotland","S12000026",37952,26962
"Scotland","S12000027",6907,5315
"Scotland","S12000028",36265,25241
"Scotland","S12000029",102568,60024
"Scotland","S12000030",33112,15787
"Scotland","S12000033",63985,40729
"Scotland","S12000034",76445,62516
"Scotland","S12000035",29494,19202
"Scotland","S12000036",187796,64498
"Scotland","S12000038",57119,31010
"Scotland","S12000039",26794,16426
"Scotland","S12000040",51560,36948
"Scotland","S12000041",32747,26511
"Scotland","S12000042",39688,26697
"Scotland","S12000044",95549,59400
"Scotland","S12000045",44534,17840
"Scotland","S12000046",168335,84474
"South East","E06000035",49889,88997
"South East","E06000036",29888,35002
"South East","E06000037",48300,44977
"South East","E06000038",43385,31382
"South East","E06000039",24911,29631
"South East","E06000040",44086,37706
"South East","E06000041",55272,42229
"South East","E06000042",63393,67063
"South East","E06000043",100648,46027
"South East","E06000044",41384,57336
"South East","E06000045",49738,57927
"South East","E06000046",30207,49173
"South East","E07000004",52877,53956
"South East","E07000005",32241,26363
"South East","E07000006",20077,20647
