"from","to","weight"
"Myriel","Napoleon",1
"Myriel","MlleBaptistine",8
"Myriel","MmeMagloire",10
"MlleBaptistine","MmeMagloire",6
"Myriel","CountessDeLo",1
"Myriel","Geborand",1
"Myriel","Champtercier",1
"Myriel","Cravatte",1
"Myriel","Count",2
"Myriel","OldMan",1
"Labarre","Valjean",1
"MmeMagloire","Valjean",3
"MlleBaptistine","Valjean",3
"Myriel","Valjean",5
"Valjean","Marguerite",1
"Valjean","MmeDeR",1
"Valjean","Isabeau",1
"Valjean","Gervais",1
"Tholomyes","Listolier",4
"Tholomyes","Fameuil",4
"Listolier","Fameuil",4
"Tholomyes","Blacheville",4
"Listolier","Blacheville",4
"Fameuil","Blacheville",4
"Tholomyes","Favourite",3
"Listolier","Favourite",3
"Fameuil","Favourite",3
"Blacheville","Favourite",4
"Tholomyes","Dahlia",3
"Listolier","Dahlia",3
"Fameuil","Dahlia",3
"Blacheville","Dahlia",3
"Favourite","Dahlia",5
"Tholomyes","Zephine",3
"Listolier","Zephine",3
"Fameuil","Zephine",3
"Blacheville","Zephine",3
"Favourite","Zephine",4
"Dahlia","Zephine",4
"Tholomyes","Fantine",3
"Listolier","Fantine",3
"Fameuil","Fantine",3
"Blacheville","Fantine",3
"Favourite","Fantine",4
"Dahlia","Fantine",4
"Zephine","Fantine",4
"Marguerite","Fantine",2
"Valjean","Fantine",9
"Fantine","MmeThenardier",2
"Valjean","MmeThenardier",7
"MmeThenardier","Thenardier",13
"Fantine","Thenardier",1
"Valjean","Thenardier",12
"MmeThenardier","Cosette",4
"Valjean","Cosette",31
"Tholomyes","Cosette",1
"Thenardier","Cosette",1
"Valjean","Javert",17
"Fantine","Javert",5
"Thenardier","Javert",5
"MmeThenardier","Javert",1
"Cosette","Javert",1
"Valjean","Fauchelevent",8
"Javert","Fauchelevent",1
"Fantine","Bamatabois",1
"Javert","Bamatabois",1
"Valjean","Bamatabois",2
"Fantine","Perpetue",1
"Perpetue","Simplice",2
"Valjean","Simplice",3
"Fantine","Simplice",2
"Javert","Simplice",1
"Valjean","Scaufflaire",1
"Valjean","Woman1",2
"Javert","Woman1",1
"Valjean","Judge",3
"Bamatabois","Judge",2
"Valjean","Champmathieu",3
"Judge","Champmathieu",3
"Bamatabois","Champmathieu",2
"Judge","Brevet",2
"Champmathieu","Brevet",2
"Valjean","Brevet",2
"Bamatabois","Brevet",1
"Judge","Chenildieu",2
"Champmathieu","Chenildieu",2
"Brevet","Chenildieu",2
"Valjean","Chenildieu",2
"Bamatabois","Chenildieu",1
"Judge","Cochepaille",2
"Champmathieu","Cochepaille",2
"Brevet","Cochepaille",2
"Chenildieu","Cochepaille",2
"Valjean","Cochepaille",2
"Bamatabois","Cochepaille",1
"Thenardier","Pontmercy",1
"Thenardier","Boulatruelle",1
"MmeThenardier","Eponine",2
"Thenardier","Eponine",3
"Eponine","Anzelma",2
"Thenardier","Anzelma",2
"MmeThenardier","Anzelma",1
"Valjean","Woman2",3
"Cosette","Woman2",1
"Javert","Woman2",1
"Fauchelevent","MotherInnocent",3
"Valjean","MotherInnocent",1
"Fauchelevent","Gribier",2
"Jondrette","MmeBurgon",1
"MmeBurgon","Gavroche",2
"Thenardier","Gavroche",1
"Javert","Gavroche",1
"Valjean","Gavroche",1
"Cosette","Gillenormand",3
"Valjean","Gillenormand",2
"Gillenormand","Magnon",1
"MmeThenardier","Magnon",1
"Gillenormand","MlleGillenormand",9
"Cosette","MlleGillenormand",2
"Valjean","MlleGillenormand",2
"MlleGillenormand","MmePontmercy",1
"Pontmercy","MmePontmercy",1
"MlleGillenormand","MlleVaubois",1
"MlleGillenormand","LtGillenormand",2
"Gillenormand","LtGillenormand",1
