"id","name","latitude","longitude"
1,"Acton Town",51.5028,-0.2801
2,"Aldgate",51.5143,-0.0755
3,"Aldgate East",51.5154,-0.0726
4,"All Saints",51.5107,-0.013
5,"Alperton",51.5407,-0.2997
7,"Angel",51.5322,-0.1058
8,"Archway",51.5653,-0.1353
9,"Arnos Grove",51.6164,-0.1331
10,"Arsenal",51.5586,-0.1059
11,"Baker Street",51.5226,-0.1571
12,"Balham",51.4431,-0.1525
13,"Bank",51.5133,-0.0886
14,"Barbican",51.5204,-0.0979
15,"Barking",51.5396,0.081
16,"Barkingside",51.5856,0.0887
17,"Barons Court",51.4905,-0.2139
18,"Bayswater",51.5121,-0.1879
19,"Beckton",51.5148,0.0613
20,"Beckton Park",51.5087,0.055
21,"Becontree",51.5403,0.127
22,"Belsize Park",51.5504,-0.1642
24,"Bethnal Green",51.527,-0.0549
25,"Blackfriars",51.512,-0.1031
26,"Blackhorse Road",51.5867,-0.0417
27,"Blackwall",51.5079,-0.0066
28,"Bond Street",51.5142,-0.1494
29,"Borough",51.5011,-0.0943
30,"Boston Manor",51.4956,-0.325
31,"Bounds Green",51.6071,-0.1243
32,"Bow Church",51.5273,-0.0208
33,"Bow Road",51.5269,-0.0247
34,"Brent Cross",51.5766,-0.2136
36,"Bromley-By-Bow",51.5248,-0.0119
38,"Burnt Oak",51.6028,-0.2641
39,"Caledonian Road",51.5481,-0.1188
40,"Camden Town",51.5392,-0.1426
42,"Canary Wharf",51.5051,-0.0209
44,"Cannon Street",51.5113,-0.0904
45,"Canons Park",51.6078,-0.2947
47,"Chalk Farm",51.5441,-0.1538
48,"Chancery Lane",51.5185,-0.1111
49,"Charing Cross",51.508,-0.1247
51,"Chigwell",51.6177,0.0755
52,"Chiswick Park",51.4946,-0.2678
54,"Clapham Common",51.4618,-0.1384
55,"Clapham North",51.4649,-0.1299
56,"Clapham South",51.4527,-0.148
58,"Colindale",51.5955,-0.2502
59,"Colliers Wood",51.418,-0.1778
60,"Covent Garden",51.5129,-0.1243
61,"Crossharbour & London Arena",51.4957,-0.0144
63,"Custom House",51.5095,0.0276
