"label","Gender","Main"
"Betty Draper","female",1
"Don Draper","male",1
"Harry Crane","male",0
"Joan Holloway","female",1
"Lane Pryce","male",0
"Peggy Olson","female",1
"Pete Campbell","male",1
"Roger Sterling","male",1
"Sal Romano","male",0
"Henry Francis","male",0
"Random guy","male",0
"Allison","female",0
"Bethany Van Nuys","female",0
"Bobbie Barrett","female",0
"Candace","female",0
"Doris","female",0
"Faye Miller","female",0
"Joy","female",0
"Megan Calvet","female",0
"Midge Daniels","female",0
"Rachel Menken","female",0
"Shelly","female",0
"Suzanne Farrell","female",0
"Woman at the Clios party","female",0
"Hildy","female",0
"Jennifer Crane","female",0
"Franklin","male",0
"Greg Harris","male",0
"Janine","female",0
"Rebecca Pryce","female",0
"Toni","female",0
"Abe Drexler","male",0
"Brooklyn College Student","male",0
"Duck Phillips","male",0
"Mark","male",0
"Gudrun","female",0
"Playtex bra model","female",0
"Trudy Campbell","female",0
"Ida Blankenship","female",0
"Jane Siegel","female",0
"Mirabelle Ames","female",0
"Mona Sterling","female",0
"Vicky","female",0
"Bellhop in Baltimore","male",0
"Kitty Romano","female",0
