"from","to","weight"
"ABRAMSON, G","KUPERMAN, M","2.5"
"ACEBRON, J","BONILLA, L","0.25"
"ACEBRON, J","PEREZVICENTE, C","0.25"
"BONILLA, L","PEREZVICENTE, C","0.25"
"ACEBRON, J","RITORT, F","0.25"
"BONILLA, L","RITORT, F","0.25"
"PEREZVICENTE, C","RITORT, F","0.25"
"ACEBRON, J","SPIGLER, R","0.25"
"BONILLA, L","SPIGLER, R","0.25"
"PEREZVICENTE, C","SPIGLER, R","0.25"
"RITORT, F","SPIGLER, R","0.25"
"ADAMIC, L","ADAR, E","1"
"ADAMIC, L","HUBERMAN, B","3.16667"
"ADAMIC, L","LUKOSE, R","1.16667"
"HUBERMAN, B","LUKOSE, R","1.16667"
"ADAMIC, L","PUNIYANI, A","0.666667"
"LUKOSE, R","PUNIYANI, A","0.666667"
"HUBERMAN, B","PUNIYANI, A","0.666667"
"AERTSEN, A","GERSTEIN, G","0.333333"
"AERTSEN, A","HABIB, M","0.333333"
"GERSTEIN, G","HABIB, M","0.333333"
"AERTSEN, A","PALM, G","0.333333"
"GERSTEIN, G","PALM, G","0.333333"
"HABIB, M","PALM, G","0.333333"
"AFRAIMOVICH, V","VERICHEV, N","0.5"
"AFRAIMOVICH, V","RABINOVICH, M","0.5"
"VERICHEV, N","RABINOVICH, M","0.5"
"AHUJA, R","MAGNANTI, T","0.5"
"AHUJA, R","ORLIN, J","0.5"
"MAGNANTI, T","ORLIN, J","0.5"
"AIELLO, W","CHUNG, F","0.5"
"AIELLO, W","LU, L","0.5"
"CHUNG, F","LU, L","2.33333"
"ALBERICH, R","MIROJULIA, J","0.5"
"ALBERICH, R","ROSSELLO, F","0.5"
"MIROJULIA, J","ROSSELLO, F","0.5"
"ALBERT, R","ALBERT, I","0.5"
"ALBERT, R","NAKARADO, G","0.5"
"ALBERT, I","NAKARADO, G","0.5"
"ALBERT, R","BARABASI, A","3.58333"
"ALBERT, R","JEONG, H","1.58333"
"BARABASI, A","JEONG, H","4.225"
"ALBERTS, B","BRAY, D","0.2"
"ALBERTS, B","LEWIS, J","0.2"
"BRAY, D","LEWIS, J","0.2"
"ALBERTS, B","RAFF, M","0.2"
"BRAY, D","RAFF, M","0.2"
"LEWIS, J","RAFF, M","0.2"
"ALBERTS, B","ROBERTS, K","0.2"
