"from","to","weight"
0,19,796
0,18,106
0,0,103
0,37,88
0,17,67
0,31,62
0,47,55
0,32,54
0,62,41
0,6,31
0,9,31
0,14,20
0,40,20
0,53,20
0,59,20
0,16,18
0,57,18
0,58,18
0,61,18
0,49,17
0,11,16
0,23,13
0,30,13
0,54,13
0,13,12
0,66,9
0,2,8
0,28,8
0,33,7
0,34,7
0,25,6
0,44,6
0,50,6
0,3,5
0,5,5
0,60,5
0,41,4
0,112,4
0,7,3
0,10,3
0,15,3
0,27,3
0,42,3
0,97,3
0,21,2
0,64,2
0,65,2
0,115,2
0,24,1
0,35,1
0,43,1
0,45,1
0,55,1
0,63,1
0,71,1
0,77,1
0,79,1
0,84,1
0,100,1
0,104,1
0,113,1
1,1,7
1,46,5
1,113,2
1,13,1
1,17,1
1,31,1
1,60,1
1,63,1
1,64,1
2,19,434
2,2,151
2,17,109
2,31,61
2,8,24
2,30,20
2,47,20
2,34,19
2,37,19
2,32,17
2,54,17
2,15,16
2,33,16
2,10,9
2,57,9
2,40,8
2,44,8
2,7,7
2,21,7
2,3,6
2,11,6
2,16,6
2,41,6
2,62,6
2,6,4
2,42,4
2,50,4
2,9,3
2,18,3
2,27,3
2,28,3
2,53,3
2,84,3
2,0,2
2,1,2
2,39,2
2,45,2
2,49,2
2,52,2
2,60,2
2,12,1
2,14,1
2,48,1
2,59,1
2,64,1
2,66,1
2,82,1
2,100,1
2,104,1
2,113,1
2,114,1
3,19,781
3,31,179
3,47,135
3,3,73
3,17,71
3,9,55
3,18,44
3,62,41
3,37,39
3,6,34
3,11,33
3,40,33
3,43,29
3,57,29
3,27,28
3,32,28
3,8,27
3,60,26
3,63,23
3,15,21
3,58,21
3,61,17
3,54,13
3,39,12
3,53,12
3,33,11
3,55,11
3,10,10
3,66,10
3,2,9
3,45,9
3,59,9
3,64,9
3,12,8
3,14,8
3,23,8
3,0,6
3,44,6
3,1,5
3,16,5
3,25,4
3,34,4
3,50,4
3,28,3
3,52,3
3,65,3
3,5,2
3,13,2
3,21,2
3,41,2
3,51,2
3,56,2
3,7,1
3,42,1
3,70,1
3,84,1
3,113,1
3,115,1
5,19,488
5,5,352
5,17,245
5,23,147
5,31,53
5,37,39
5,11,24
5,61,22
5,46,20
5,6,17
5,7,16
5,48,15
5,65,15
5,66,15
5,18,11
5,14,10
5,44,9
5,10,8
5,32,8
5,34,8
5,42,8
5,50,8
5,0,7
5,47,7
5,49,7
5,54,7
5,55,7
5,13,6
5,28,6
5,53,6
5,58,6
5,59,6
5,8,5
5,21,5
5,27,5
5,30,4
5,45,4
5,57,4
5,2,3
5,9,3
5,16,3
5,25,3
5,35,3
5,43,3
5,56,3
5,3,2
5,12,2
5,15,2
5,24,2
5,64,2
5,40,1
5,41,1
5,51,1
5,112,1
6,19,835
6,6,219
6,47,158
6,17,106
6,18,96
6,12,91
6,31,73
6,44,72
6,40,50
6,32,48
6,37,48
6,54,37
6,10,34
6,11,28
6,62,28
6,9,27
6,45,26
6,57,24
6,64,21
6,50,20
6,61,20
6,15,18
6,52,17
6,55,17
6,14,14
6,43,14
6,66,14
6,51,13
6,65,13
6,16,12
6,24,12
6,30,12
6,23,11
6,49,10
6,56,9
6,21,8
6,60,8
6,0,7
6,63,7
6,5,6
6,42,6
6,48,6
6,53,6
6,58,6
6,3,5
6,7,5
6,13,5
6,28,5
6,33,5
6,59,5
6,8,4
6,27,3
6,25,2
6,34,2
6,115,2
6,2,1
6,39,1
6,76,1
6,84,1
6,113,1
7,19,1368
7,7,165
7,31,146
7,37,136
7,18,119
7,32,119
7,17,98
7,50,84
7,6,68
7,11,68
7,47,66
7,57,63
7,42,59
7,49,56
7,61,53
7,23,52
7,65,50
7,62,45
7,44,44
7,54,42
7,66,42
7,15,41
7,48,35
7,14,34
7,56,34
7,64,34
7,30,30
7,40,30
7,5,24
7,16,23
7,45,21
7,0,20
7,34,20
7,55,20
7,13,19
7,28,19
7,33,19
7,8,18
7,10,18
7,115,18
7,9,17
7,51,17
7,53,17
7,21,15
7,24,15
7,2,12
7,12,11
7,63,11
7,35,10
7,46,10
7,58,10
7,59,10
7,113,9
7,25,7
7,43,7
7,52,7
7,41,6
7,39,4
7,60,4
7,83,4
7,29,3
7,112,3
7,3,2
7,27,2
7,84,2
7,96,2
7,1,1
7,68,1
7,71,1
7,99,1
8,19,655
8,17,205
8,8,178
8,40,84
8,37,47
8,32,46
8,6,45
8,18,37
8,31,37
8,50,36
8,47,33
8,54,26
8,27,24
8,44,23
8,61,23
8,43,22
8,57,22
8,66,19
8,45,18
8,48,18
8,52,14
8,112,14
8,62,12
8,10,10
8,11,10
8,55,10
8,64,10
8,16,8
8,25,8
8,5,6
8,49,6
8,115,6
8,9,5
8,12,5
8,28,5
8,56,5
8,13,4
8,42,4
8,58,4
8,60,4
8,23,3
8,30,3
8,33,3
8,65,3
8,73,3
8,114,3
8,29,2
8,34,2
8,53,2
8,99,2
8,111,2
8,113,2
8,1,1
8,3,1
8,15,1
8,21,1
8,41,1
8,51,1
8,63,1
8,72,1
8,82,1
8,85,1
8,96,1
8,110,1
9,19,317
9,9,164
9,31,108
9,18,72
9,60,56
9,6,50
9,62,45
9,14,43
9,32,42
9,47,42
9,17,39
9,23,38
9,16,37
9,57,37
9,3,33
9,11,29
9,15,25
9,40,25
9,58,25
9,64,24
9,66,24
9,37,23
9,30,21
9,54,20
9,12,19
9,50,19
9,10,18
9,52,15
9,39,14
9,13,13
9,43,13
9,28,11
9,44,11
9,49,10
9,55,10
9,63,10
9,0,7
9,8,7
9,24,7
9,61,7
9,65,7
9,48,6
9,53,6
9,7,5
9,21,5
9,25,5
9,45,5
9,84,5
9,2,3
9,27,3
9,42,3
9,46,3
9,51,3
9,59,3
9,35,2
9,41,2
9,56,2
9,1,1
9,5,1
9,34,1
9,81,1
9,113,1
10,19,2017
10,47,369
10,31,238
10,6,224
10,17,183
10,10,141
10,40,138
10,18,107
10,54,76
10,9,70
10,33,32
10,58,32
10,37,25
10,32,24
10,16,19
10,66,18
10,62,15
10,57,14
10,11,13
10,15,13
10,45,13
10,2,10
10,24,10
10,23,9
10,28,8
10,61,8
10,25,6
10,34,6
10,41,6
10,52,6
10,56,6
10,30,5
10,59,5
10,64,5
10,42,4
10,43,4
10,50,4
10,51,4
10,53,4
10,39,3
10,46,3
10,0,2
10,3,2
10,7,2
10,12,2
10,14,2
10,27,2
10,44,2
10,48,2
10,49,2
10,55,2
10,60,2
10,98,2
10,99,2
10,110,2
10,113,2
10,8,1
10,13,1
10,21,1
10,65,1
10,71,1
10,84,1
10,97,1
10,103,1
11,19,436
11,11,268
11,17,135
11,32,93
11,31,90
11,18,73
11,37,69
11,66,53
11,23,52
11,47,47
11,40,45
11,16,44
11,62,41
11,55,40
11,50,37
11,6,35
11,65,33
11,54,29
11,57,28
11,9,26
11,15,22
11,52,21
11,64,21
11,35,19
11,56,17
11,28,15
11,58,15
11,44,14
11,24,12
11,21,11
11,42,11
11,14,10
11,48,10
11,8,9
11,33,9
11,7,8
11,30,8
11,61,8
11,29,7
11,63,7
11,0,6
11,25,6
11,43,6
11,27,5
11,51,5
11,59,5
11,60,5
11,114,5
11,5,4
11,34,4
11,53,4
11,3,3
11,10,3
11,12,3
11,13,3
11,41,3
11,45,3
11,49,3
11,75,3
11,112,3
11,39,2
11,84,2
11,46,1
11,69,1
11,78,1
11,82,1
11,91,1
11,97,1
11,100,1
11,105,1
11,110,1
12,19,1105
12,31,373
12,47,344
12,12,290
12,17,272
12,6,242
12,44,232
12,40,139
12,37,126
12,16,99
12,9,93
12,54,91
12,18,78
12,15,67
12,58,50
12,32,48
12,50,47
12,11,43
12,14,40
12,49,38
12,52,35
12,57,35
12,59,32
12,8,28
12,62,27
12,64,27
12,48,26
12,13,24
12,30,23
12,60,22
12,42,21
12,55,21
12,28,20
12,23,17
12,33,15
12,45,15
12,10,13
12,66,13
12,25,12
12,63,12
12,34,11
12,27,10
12,65,10
12,53,9
12,24,8
12,43,7
12,61,7
12,21,6
12,29,6
12,35,6
12,56,6
12,5,5
12,7,5
12,39,5
12,0,4
12,51,4
12,2,3
12,113,2
12,3,1
13,19,386
13,13,123
13,63,105
13,55,71
13,18,68
13,17,66
13,31,66
13,40,62
13,32,61
13,11,47
13,37,39
13,47,39
13,16,21
13,61,19
13,6,18
13,54,17
13,66,17
13,64,15
13,14,13
13,57,13
13,9,12
13,52,12
13,50,10
13,23,9
13,15,8
13,44,7
13,48,7
13,49,6
13,58,6
13,65,6
13,5,5
13,42,5
13,8,4
13,10,4
13,28,4
13,56,4
13,62,4
13,115,4
13,0,3
13,3,3
13,30,3
13,33,3
13,53,3
13,1,2
13,21,2
13,34,2
13,43,2
13,45,2
13,60,2
13,84,2
13,112,2
13,113,2
13,7,1
13,24,1
13,25,1
13,35,1
13,41,1
13,51,1
13,59,1
13,87,1
13,97,1
14,19,909
14,14,166
14,31,145
14,37,132
14,54,93
14,17,76
14,49,60
14,32,44
14,11,41
14,40,39
14,53,32
14,30,29
14,6,28
14,59,28
14,18,26
14,0,25
14,48,16
14,62,16
14,58,15
14,50,13
14,16,12
14,52,10
14,66,10
14,44,9
14,7,8
14,28,8
14,1,7
14,9,7
14,63,7
14,15,6
14,103,6
14,8,5
14,84,5
14,5,4
14,13,4
14,55,4
14,57,4
14,43,3
14,56,3
14,61,3
14,65,3
14,88,3
14,113,3
14,2,2
14,47,2
14,51,2
14,76,2
14,78,2
14,85,2
14,86,2
14,96,2
14,100,2
14,102,2
14,104,2
14,105,2
14,106,2
14,107,2
14,111,2
14,3,1
14,10,1
14,25,1
14,27,1
14,33,1
14,42,1
14,45,1
14,60,1
14,99,1
14,110,1
15,15,464
15,28,189
15,19,167
15,18,130
15,32,54
15,31,53
15,10,44
15,16,42
15,17,41
15,47,37
15,50,32
15,54,27
15,56,27
15,40,25
15,44,25
15,62,25
15,11,24
15,37,22
15,51,21
15,57,21
15,64,20
15,6,19
15,14,18
15,42,18
15,23,16
15,52,16
15,55,14
15,61,14
15,13,11
15,59,11
15,12,9
15,24,9
15,25,9
15,66,9
15,8,8
15,21,8
15,30,8
15,45,8
15,3,7
15,9,7
15,115,7
15,48,6
15,65,6
15,7,5
15,33,5
15,35,5
15,34,4
15,43,4
15,49,4
15,2,3
15,46,3
15,53,3
15,58,3
15,114,3
15,0,2
15,41,2
15,63,2
15,29,1
15,39,1
15,78,1
15,84,1
15,87,1
15,96,1
15,99,1
15,107,1
16,16,407
16,19,378
16,31,200
16,57,125
16,37,92
16,40,78
16,11,58
16,17,58
16,47,55
16,62,52
16,9,41
16,18,38
16,28,37
16,15,36
16,52,36
16,32,35
16,54,34
16,50,32
16,14,30
16,6,28
16,55,27
16,30,25
16,66,24
16,56,20
16,23,15
16,0,14
16,24,14
16,61,14
16,48,13
16,51,13
16,13,12
16,42,12
16,65,12
16,8,11
16,10,11
16,53,11
16,58,11
16,25,10
16,34,10
16,44,8
16,64,8
16,2,7
16,33,7
16,59,7
16,12,6
16,60,6
16,29,5
16,63,4
16,7,3
16,21,3
16,35,3
16,3,2
16,27,2
16,45,2
16,46,2
16,112,2
16,39,1
16,41,1
16,43,1
17,17,1174
17,19,149
17,33,27
17,62,26
17,40,19
17,54,16
17,31,15
17,66,14
17,6,12
17,18,11
17,9,10
17,42,10
17,11,6
17,48,6
17,10,5
17,50,5
17,16,4
17,32,4
17,45,4
17,64,4
17,47,3
17,52,3
17,57,3
17,5,2
17,8,2
17,14,2
17,23,2
17,27,2
17,28,2
17,30,2
17,46,2
17,55,2
17,59,2
17,0,1
17,1,1
17,2,1
17,3,1
17,21,1
17,34,1
17,37,1
17,39,1
17,43,1
17,49,1
17,51,1
17,53,1
17,56,1
17,58,1
17,60,1
18,19,641
18,18,248
18,54,143
18,17,131
18,37,94
18,50,75
18,31,72
18,23,59
18,40,54
18,47,54
18,6,48
18,59,41
18,11,40
18,66,35
18,32,34
18,65,34
18,52,29
18,15,22
18,61,20
18,16,19
18,0,17
18,9,17
18,64,15
18,56,14
18,57,14
18,24,13
18,55,11
18,62,11
18,28,10
18,13,8
18,42,7
18,44,6
18,63,6
18,58,5
18,60,5
18,7,4
18,10,4
18,14,4
18,49,4
18,34,3
18,45,3
18,21,2
18,35,2
18,48,2
18,51,2
18,29,1
18,30,1
18,33,1
18,43,1
19,17,139
19,18,122
19,54,115
19,31,100
19,19,79
19,40,52
19,47,51
19,37,45
19,32,42
19,6,35
19,16,30
19,50,30
19,30,27
19,11,26
19,58,25
19,62,23
19,23,22
19,15,21
19,9,19
19,66,19
19,52,17
19,42,15
19,57,15
19,55,13
19,48,12
19,43,11
19,49,11
19,64,11
19,65,11
19,10,10
19,28,10
19,44,10
19,7,9
19,14,9
19,25,9
19,27,9
19,51,9
19,56,9
19,60,9
19,61,9
19,0,8
19,2,8
19,59,8
19,24,6
19,41,6
19,8,5
19,21,5
19,3,4
19,12,4
19,45,4
19,53,4
19,84,4
19,112,4
19,39,3
19,63,3
19,1,2
19,13,2
19,33,2
19,46,2
19,88,2
19,34,1
19,100,1
19,105,1
19,106,1
21,19,713
21,21,386
21,32,106
21,31,75
21,17,52
21,51,44
21,47,40
21,37,37
21,11,34
21,18,23
21,23,22
21,6,21
21,65,19
21,40,18
21,9,14
21,24,14
21,8,13
21,57,12
21,105,11
21,16,10
21,25,10
21,50,10
21,14,8
21,15,8
21,66,8
21,45,7
21,0,6
21,13,6
21,49,6
21,53,6
21,61,6
21,10,5
21,28,5
21,30,5
21,43,5
21,62,5
21,64,5
21,84,5
21,63,4
21,79,4
21,98,4
21,100,4
21,113,4
21,5,3
21,29,3
21,46,3
21,52,3
21,58,3
21,71,3
21,72,3
21,99,3
21,1,2
21,7,2
21,12,2
21,33,2
21,34,2
21,35,2
21,41,2
21,42,2
21,44,2
21,54,2
21,81,2
21,83,2
21,60,1
21,73,1
21,74,1
21,78,1
21,88,1
21,96,1
21,104,1
22,19,957
22,31,167
22,40,133
22,11,124
22,17,101
22,18,83
22,47,64
22,32,53
22,37,44
22,6,43
22,66,27
22,61,22
22,54,19
22,56,19
22,13,18
22,16,18
22,8,16
22,23,15
22,57,15
22,15,12
22,50,12
22,52,11
22,58,11
22,48,10
22,55,10
22,65,10
22,115,10
22,9,9
22,49,8
22,35,7
22,42,6
22,44,6
22,10,5
22,25,5
22,43,5
22,62,5
22,5,4
22,14,4
22,63,4
22,64,4
22,112,4
22,3,3
22,7,3
22,12,3
22,24,3
22,29,3
22,60,3
