"id","screen_name","name","party"
0,"DeepakAnandMPP","Deepak Anand","PCP"
1,"MPPArnottWHH","Ted Arnott","PCP"
2,"Roman_Baber","Roman Baber","IND"
3,"Aris_Babikian","Aris Babikian","PCP"
5,"TobyBarrettHN","Toby Barrett","PCP"
6,"PBethlenfalvy","Peter Bethlenfalvy","PCP"
7,"WillBoumaBrant","Will Bouma","PCP"
8,"PaulCalandra","Paul Calandra","PCP"
9,"RaymondChoPC","Raymond Sung Joon Cho","PCP"
10,"StanChoMPP","Stan Cho","PCP"
11,"SteveClarkPC","Steve Clark","PCP"
12,"lornecoe","Lorne Coe","PCP"
13,"stcrawford2","Stephen Crawford","PCP"
14,"RudyCuzzetto","Rudy Cuzzetto","PCP"
15,"douglasdowney","Doug Downey","PCP"
16,"JillDunlop1","Jill Dunlop","PCP"
17,"celliottability","Christine Elliott","PCP"
18,"VictorFedeli","Victor Fedeli","PCP"
19,"fordnation","Doug Ford","PCP"
21,"gghamari","Goldie Ghamari","PCP"
22,"parmgill","Parm Gill","PCP"
23,"erniehardeman","Ernie Hardeman","PCP"
24,"mikeharrisjrpc","Mike Harris","PCP"
25,"CHogarthPC","Christine Hogarth","PCP"
27,"LoganKanapathi","Logan Kanapathi","PCP"
28,"Andrea_Khanjin","Andrea Khanjin","PCP"
29,"darylkramp","Daryl Kramp","PCP"
30,"NatKusendova","Natalia Kusendova","PCP"
31,"Sflecce","Stephen Lecce","PCP"
32,"MacLeodLisa","Lisa MacLeod","PCP"
33,"RobinMartinPC","Robin Martin","PCP"
34,"GilaMartow","Gila Martow","PCP"
35,"JimMcDonell","Jim McDonell","PCP"
37,"MonteMcNaughton","Monte McNaughton","PCP"
39,"Christina_Mitas","Christina Maria Mitas","PCP"
40,"C_Mulroney","Caroline Mulroney","PCP"
41,"RickNichollsCKL","Rick Nicholls","IND"
42,"samoosterhoff","Sam Oosterhoff","PCP"
43,"Billy__Pang","Billy Pang","PCP"
44,"lparkpc","Lindsey Park","PCP"
45,"MichaelParsa","Michael Parsa","PCP"
46,"RandyPettapiece","Randy Pettapiece","PCP"
47,"RodPhillips01","Rod Phillips","PCP"
48,"DavidPiccini","David Piccini","PCP"
49,"krasheedmpp","Kaleed Rasheed","PCP"
50,"GregRickford","Greg Rickford","PCP"
51,"JR_Ottawa","Jeremy Roberts","PCP"
52,"RossRomanoSSM","Ross Romano","PCP"
53,"SherefSabawyPC","Sheref Sabawy","PCP"
54,"PrabSarkaria","Prabmeet Singh Sarkaria","PCP"
55,"LaurieScottPC","Laurie Scott","PCP"
56,"SkellyHamilton","Donna Skelly","PCP"
57,"ToddSmithPC","Todd Smith","PCP"
58,"KingaSurmaMPP","Kinga Surma","PCP"
59,"ninatangri","Nina Tangri","PCP"
60,"VijayThaniMPP","Vijay Thanigaslam","PCP"
61,"LisaThompsonMPP","Lisa Thompson","PCP"
62,"MichaelTibollo","Michael Tibollo","PCP"
63,"Effie_ONB","Effie Triantafilopoulos","PCP"
64,"billwalkermpp","Bill Walker","PCP"
65,"JYakabuskiMPP","John Yakabuski","PCP"
66,"JeffYurekMPP","Jeff Yurek","PCP"
67,"JILLSLASTWORD","Jill Andrew","NDP"
68,"TArmstrongNDP","Teresa J. Armstrong","NDP"
69,"IanArthurMPP","Ian Arthur","NDP"
70,"DolyBegum","Doly Begum","NDP"
71,"JessicaBellTO","Jessica Bell","NDP"
72,"beyrima","Rima Berns-McGown","NDP"
73,"BissonGilles","Gilles Bisson","NDP"
74,"BourgouinGuy","Guy Bourgouin","NDP"
75,"JeffBurch_","Jeff Burch","NDP"
76,"CFifeKW","Catherine Fife","NDP"
77,"Wayne_Gates","Wayne Gates","NDP"
78,"NickelBelt","France Gélinas","NDP"
79,"ChrisGloverMPP","Chris Glover","NDP"
80,"LGretzky","Lisa Gretzky","NDP"
81,"JoelHardenONDP","Joel Harden","NDP"
82,"FaisalHassanNDP","Faisal Hassan","NDP"
83,"PercyHatfield","Percy Hatfield","NDP"
84,"AndreaHorwath","Andrea Horwath","NDP"
85,"BhutilaKarpoche","Bhutila Karpoche","NDP"
86,"kernaghant","Terence Kernaghan","NDP"
87,"LauraMaeLindo","Laura Mae Lindo","NDP"
88,"solmamakwa","Sol Mamakwa","NDP"
89,"M_Mantha","Michael Mantha","NDP"
91,"SuzeMorrison","Suze Morrison","NDP"
92,"Judith_NDP","Judith Monteith-Farrell","NDP"
93,"TarasNatyshak","Taras Natyshak","NDP"
95,"PeggySattlerNDP","Peggy Sattler","NDP"
96,"shaw_sandy","Sandy Shaw","NDP"
97,"SaraSinghMPP","Sara Singh","NDP"
98,"GurratanSingh","Gurratan Singh","NDP"
99,"maritstiles","Marit Stiles","NDP"
100,"JennieStevens_","Jennifer Stevens","NDP"
101,"Peter_Tabuns","Peter Tabuns","NDP"
102,"MTaylorNDP","Monique Taylor","NDP"
103,"john_vanthof","John Vanthof","NDP"
104,"jamiewestndp","Jamie West","NDP"
105,"StephenBlais","Stephen Blais","LIB"
106,"LucilleCollard","Lucille Collard","LIB"
107,"coteau","Michael Coteau","LIB"
109,"MichaelGravelle","Michael Gravelle","LIB"
110,"MitzieHunter","Mitzie Hunter","LIB"
111,"ASimardL","Amanda Simard","LIB"
112,"Kathleen_Wynne","Kathleen Wynne","LIB"
113,"MikeSchreiner","Mike Schreiner","GRN"
114,"randyhillier","Randy Hillier","IND"
115,"mppjimwilson","Jim Wilson","IND"
