"park_id","user_id","park_name","stars"
"_1QQZuf4zZOyFCvXc0o6Vg","uZetl9T0NcROGOyFfughhg","Chaparral Dog Park",5
"jPsSPQpDd_x1AFw6Ts4wKw","My9DUYlhgwARA-6JJ8_Y6Q","Grovers Basin Dog Park",4
"_1QQZuf4zZOyFCvXc0o6Vg","kkUvJK-Y-Jb7nWjnTRZFVA","Chaparral Dog Park",4
"eGj1NnvbIUVWgDYQWEOwQg","qBAaWZxyuFnSZU0NzFlNDw","PetSmart Dog Park at Washington Park",1
"_1QQZuf4zZOyFCvXc0o6Vg","yAy_yq9pcp4YiotWEsTOpQ","Chaparral Dog Park",5
"lQpdn4RvgG9vT5CHv3qj9w","q3Fa0PhTGzRl-05fXHIi4g","Rose Mofford Sports Complex Dog Park",4
"_1QQZuf4zZOyFCvXc0o6Vg","4vSGcZyNfIuKYUP6z9Cbyg","Chaparral Dog Park",5
"_1QQZuf4zZOyFCvXc0o6Vg","gGNAr-cmCQUgA9B0QjVqAg","Chaparral Dog Park",4
"81lmOzUBOrDE0kxvALxGRA","BVx7_5ox_erPCm2Id3Ncmw","Shawnee Bark Park",4
"IX5FfZL4P7WGOG-xwdD4wA","HpQwQzcJyPrufcC-ub5IXA","Roscoe Park",5
"_1QQZuf4zZOyFCvXc0o6Vg","oCjrFKcvqVACBkVh3LTqwQ","Chaparral Dog Park",5
"_1QQZuf4zZOyFCvXc0o6Vg","m7j9e53ycZxjWYBD7rZVng","Chaparral Dog Park",4
"0wcIW43ZFTeVFmRMvylZxQ","wipxoCTPDEFRbaa30KmO3w","Tempe Sports Complex",4
"oD3K3aT52uNdLaYmGnRV8A","fczQCSmaWF78toLEmb0Zsw","Papago Dog Park",3
"eGj1NnvbIUVWgDYQWEOwQg","7o7MF9B9lxcWupE8jiLOaQ","PetSmart Dog Park at Washington Park",4
"IX5FfZL4P7WGOG-xwdD4wA","QAMNtBlBPpHwGhugOIaumA","Roscoe Park",3
"_1QQZuf4zZOyFCvXc0o6Vg","8U6I0GuBasZa9rapy2H-8A","Chaparral Dog Park",5
"_1QQZuf4zZOyFCvXc0o6Vg","hpOOPdG9WNFz-VXId8qU6Q","Chaparral Dog Park",4
"lQpdn4RvgG9vT5CHv3qj9w","qBAaWZxyuFnSZU0NzFlNDw","Rose Mofford Sports Complex Dog Park",1
"81lmOzUBOrDE0kxvALxGRA","wipxoCTPDEFRbaa30KmO3w","Shawnee Bark Park",4
"oD3K3aT52uNdLaYmGnRV8A","DOq_7xxoVaZ-KV8mlVm_sQ","Papago Dog Park",1
"lQpdn4RvgG9vT5CHv3qj9w","YLmqAaR7T0j6zVObo4yHVg","Rose Mofford Sports Complex Dog Park",4
"FWIvOa28jn15bvKIqqYgvQ","TTP7l5g4QUVCpQZ9NTAWqw","Horizon Dog Park",4
"81lmOzUBOrDE0kxvALxGRA","9cLBI7hhgScn3lHjY4nAaQ","Shawnee Bark Park",4
"eGj1NnvbIUVWgDYQWEOwQg","oCjrFKcvqVACBkVh3LTqwQ","PetSmart Dog Park at Washington Park",3
"4gApv70pZpHkRDGdC4ZrxA","-QT_e-7VSun5c2z85k_k5A","Sahuaro Ranch Dog Park",4
"_1QQZuf4zZOyFCvXc0o6Vg","lmiDCrmas8TxRsbIGZX9Pg","Chaparral Dog Park",5
"_1QQZuf4zZOyFCvXc0o6Vg","8Oug5kS4s3ExAe-GCjQqXQ","Chaparral Dog Park",4
"4gApv70pZpHkRDGdC4ZrxA","WKsJ7HqRLIhewyphWKT_UQ","Sahuaro Ranch Dog Park",4
"ldyS8f473wv4o9-AHO0ZIQ","krOd6-nWhQTczGwR8gtwiQ","RJ Dog Park at Pecos Park",3
"oD3K3aT52uNdLaYmGnRV8A","GZZs7288ZoIz2hx_vcAVUw","Papago Dog Park",3
"eGj1NnvbIUVWgDYQWEOwQg","f3LA83yEEBMj9q92H28O7w","PetSmart Dog Park at Washington Park",4
"_1QQZuf4zZOyFCvXc0o6Vg","U0RTN7sFRUG9M8_Q2eDrrA","Chaparral Dog Park",5
"iYurRVLT_6WIu5cc-bwQNQ","0ZJueoz93528tTtFHMO7lw","Quail Run Park",5
"81lmOzUBOrDE0kxvALxGRA","66tWp8ThwPATFUxYNPyYLw","Shawnee Bark Park",3
"_1QQZuf4zZOyFCvXc0o6Vg","Bc2UjSePEGvqSdHvz2HKGA","Chaparral Dog Park",5
"sGc0p_EuJzgm-Q3Mjb0jVw","lC4X2crUuxT9Ac9BlOX4Uw","West Chandler Bark Park",2
"0wcIW43ZFTeVFmRMvylZxQ","FHDI8M5sm6lrZXNUBZAOfA","Tempe Sports Complex",4
"sGc0p_EuJzgm-Q3Mjb0jVw","yGzrkjrjRI9TRdjAAMc5dQ","West Chandler Bark Park",3
"81lmOzUBOrDE0kxvALxGRA","uZbTb-u-GVjTa2gtQfry5g","Shawnee Bark Park",4
"eGj1NnvbIUVWgDYQWEOwQg","GudUwh6EapiOn4umgKdJiQ","PetSmart Dog Park at Washington Park",3
"FWIvOa28jn15bvKIqqYgvQ","g_JRehJSw14NOeMJco8mBA","Horizon Dog Park",2
