"id","class","gender"
650,"2BIO1","F"
498,"2BIO1","F"
627,"2BIO1","F"
857,"2BIO1","F"
487,"2BIO1","F"
28,"2BIO2","M"
927,"2BIO1","F"
72,"2BIO1","F"
400,"2BIO1","F"
945,"2BIO1","F"
637,"2BIO1","F"
443,"2BIO1","F"
177,"2BIO1","F"
984,"2BIO1","F"
954,"2BIO1","F"
859,"2BIO1","M"
489,"2BIO1","F"
991,"2BIO1","M"
62,"2BIO1","F"
428,"2BIO1","M"
145,"2BIO1","F"
471,"2BIO1","F"
65,"2BIO1","M"
809,"2BIO1","F"
681,"2BIO1","F"
970,"2BIO1","F"
854,"2BIO1","F"
486,"2BIO1","F"
531,"2BIO1","F"
725,"2BIO1","M"
527,"2BIO1","M"
465,"2BIO1","F"
674,"2BIO1","F"
677,"2BIO1","M"
475,"2BIO1","M"
124,"2BIO1","F"
111,"2BIO1","F"
478,"2BIO2","F"
226,"2BIO2","F"
160,"2BIO2","F"
372,"2BIO2","M"
464,"2BIO2","F"
763,"2BIO2","F"
886,"2BIO2","F"
544,"2BIO2","M"
63,"2BIO3","F"
720,"2BIO2","F"
3,"2BIO2","M"
407,"2BIO2","M"
171,"2BIO2","M"
46,"2BIO2","F"
165,"2BIO2","F"
441,"2BIO2","F"
257,"2BIO2","F"
239,"2BIO2","F"
27,"2BIO2","M"
173,"2BIO2","F"
477,"2BIO2","M"
312,"2BIO2","F"
612,"2BIO2","F"
339,"2BIO2","F"
884,"2BIO2","F"
61,"2BIO2","F"
147,"2BIO2","M"
327,"2BIO2","M"
353,"2BIO2","M"
504,"2BIO2","F"
429,"2BIO2","M"
268,"2BIO2","F"
184,"2BIO2","M"
295,"2BIO2","F"
1,"2BIO3","M"
265,"2BIO3","F"
39,"2BIO3","F"
494,"2BIO3","M"
106,"2BIO3","F"
272,"2BIO3","F"
55,"2BIO3","F"
779,"2BIO3","F"
170,"2BIO3","F"
447,"2BIO3","F"
119,"2BIO3","F"
425,"2BIO3","F"
545,"2BIO3","F"
202,"2BIO3","F"
255,"2BIO3","F"
275,"2BIO3","F"
653,"2BIO3","M"
252,"2BIO3","F"
199,"2BIO3","F"
626,"2BIO3","F"
649,"2BIO3","F"
364,"2BIO3","F"
70,"2BIO3","F"
894,"2BIO3","F"
587,"2BIO3","F"
346,"2BIO3","F"
374,"2BIO3","F"
871,"2BIO3","M"
939,"2BIO3","M"
101,"2BIO3","F"
196,"2BIO3","M"
117,"2BIO3","M"
179,"2BIO3","F"
122,"2BIO3","F"
132,"2BIO3","F"
778,"2BIO3","F"
240,"2BIO3","F"
883,"2BIO3","F"
387,"MP*1","M"
236,"MP*1","M"
466,"MP*1","M"
958,"MP*1","F"
277,"MP*1","F"
438,"MP*1","M"
777,"MP*1","F"
445,"MP*1","M"
484,"MP*1","M"
702,"MP*1","M"
435,"MP*1","M"
497,"MP*1","M"
103,"MP*1","M"
376,"MP*1","M"
638,"MP*1","M"
366,"MP*1","M"
974,"MP*1","M"
908,"MP*1","F"
391,"MP*1","F"
510,"MP*1","M"
841,"MP*1","M"
20,"MP*1","M"
513,"MP*1","M"
655,"MP*1","M"
149,"MP*1","M"
279,"MP*1","M"
290,"MP*1","M"
280,"MP*1","F"
274,"MP*1","M"
1543,"MP*2","M"
1819,"MP*2","M"
1260,"MP*2","M"
1237,"MP*2","M"
1320,"MP*2","M"
1214,"MP*2","M"
1212,"MP*2","M"
1412,"MP*2","F"
1485,"MP*2","M"
1423,"MP*2","M"
1518,"MP*2","M"
1336,"MP*2","M"
1805,"MP*2","M"
1204,"MP*2","M"
1784,"MP*2","M"
1894,"MP*2","F"
1342,"MP*2","F"
1359,"MP*2","M"
1332,"MP*2","F"
1383,"MP*2","M"
1519,"MP*2","M"
1228,"MP*2","M"
1238,"MP*2","M"
